description,file_hash,file_name,weight
Malicious browser extension | Extension ID(s): nppjmiadmakeigiagilkfffplihgjlec | Source: MaliciousBrowserExtensions,000fc119f33317f8aeb6ebeaa106b6b57ec95dadffea42e2e5bfc36047a789b2,nppjmiadmakeigiagilkfffplihgjlec.crx,60
Malicious browser extension | Extension ID(s): glckmpfajbjppappjlnhhlofhdhlcgaj | Source: MaliciousBrowserExtensions,001c7c379752194472fca9ef1b1bf36d27f518ac64147a4e88907277f35b9755,glckmpfajbjppappjlnhhlofhdhlcgaj.crx,60
Malicious browser extension | Extension ID(s): jggpbfpigiemlipemocnijhapgoaflac | Source: MaliciousBrowserExtensions,00f7b97894fab8740aafa77288919b616acf932c2c0b053b6dcb5bc9512630c3,jggpbfpigiemlipemocnijhapgoaflac.crx,60
Malicious browser extension | Extension ID(s): ihbbgdnjojleljhjpenkkkbfbkhmaned | Source: MaliciousBrowserExtensions,00f8a4b8a72335b39b968ab1b60b311e7801791fd5173f48e0cfc4bec4eb7d4d,ihbbgdnjojleljhjpenkkkbfbkhmaned.crx,60
Malicious browser extension | Extension ID(s): kbmindomjiejdikjaagfdbdfpnlanobi | Source: MaliciousBrowserExtensions,0154d1a8f6f798778e0aad5bd1224983b92c7f433df37afcf7bf553802b893ee,kbmindomjiejdikjaagfdbdfpnlanobi.crx,60
Malicious browser extension | Extension ID(s): nodobilhjanebkafmpihkpoabiggnnfl | Source: MaliciousBrowserExtensions,01732b286fd5c8fddf279c2e6a6b463bbdea845aecd6bdfa5f7a5438a278a33b,nodobilhjanebkafmpihkpoabiggnnfl.crx,60
Malicious browser extension | Extension ID(s): ckicoadchmmndbakbokhapncehanaeni | Source: MaliciousBrowserExtensions,019f9f10f5ee31fb0f609b189f40e79fc492b14239a3d09e27964f4137c9a2c4,ckicoadchmmndbakbokhapncehanaeni.crx,60
Malicious browser extension | Extension ID(s): iglemaflhcmkkepecnoibopljmocgmld | Source: MaliciousBrowserExtensions,01a7b83bccd31c84d58b746884c92652fc514e9b8372a37a5af57180cd392e2f,iglemaflhcmkkepecnoibopljmocgmld.crx,60
Malicious browser extension | Extension ID(s): mllhkekmhgbdenahmkolmkijipddhbnn | Source: MaliciousBrowserExtensions,01d9a95ebc7c5df2f92ab549e0de556b580fb31762f4953be1b8ae89363cc6b1,mllhkekmhgbdenahmkolmkijipddhbnn.crx,60
Malicious browser extension | Extension ID(s): hiofkndodabpioiheinoiojjobadpgmj | Source: MaliciousBrowserExtensions,01e316cfb9272838f3bd04e48156dc7586041363919f0a9146758c057dfdf7f2,hiofkndodabpioiheinoiojjobadpgmj.crx,60
Malicious browser extension | Extension ID(s): doeomodlafdbbnajjllemacdfphbbohl | Source: MaliciousBrowserExtensions,021605ece3823e45aa37b70d4d3bea2b8ade8a7546d81e4d9b4fef56c9fd88c1,doeomodlafdbbnajjllemacdfphbbohl.crx,60
Malicious browser extension | Extension ID(s): kiijehifnnlnchkfgmlokakpfiooeigk | Source: MaliciousBrowserExtensions,021fc257ba052289e0e9e7e0036ff57378096b11b2bfff7e9695e6c47521388e,kiijehifnnlnchkfgmlokakpfiooeigk.crx,60
Malicious browser extension | Extension ID(s): pdgaknahllnfldmclpcllpieafkaibmf | Source: MaliciousBrowserExtensions,024189208133c3fc93c8f1e6d6200289f00f7b199d9e27184799580e8ece3063,pdgaknahllnfldmclpcllpieafkaibmf.crx,60
Malicious browser extension | Extension ID(s): medkneifmjcpgmmibfppjpfjbkgbgebl | Source: MaliciousBrowserExtensions,02a645b687a6d1a9a6868797151b55a6e49315ce23ef826f197be97a610d861f,medkneifmjcpgmmibfppjpfjbkgbgebl.crx,60
Malicious browser extension | Extension ID(s): hfaoffgdhhicckebnkgbakidhjnjpfic | Source: MaliciousBrowserExtensions,02ab91867a7adadf482e0e7f49b2f57834f4ef5a3eb76557936019382cf7c02c,hfaoffgdhhicckebnkgbakidhjnjpfic.crx,60
Malicious browser extension | Extension ID(s): ldijhinlhpiiooiknndjjdolhnpihbel | Source: MaliciousBrowserExtensions,032024cc8d2c5a7cd1f41548f791e602ba28de69e470696f6df2c6fb197c7190,ldijhinlhpiiooiknndjjdolhnpihbel.crx,60
Malicious browser extension | Extension ID(s): ibbkokjdcfjakihkpihlffljabiepdag | Source: MaliciousBrowserExtensions,0372e743fc8bddcb7cb5150a05de81c1675a182cc058350282aab3184476fa13,ibbkokjdcfjakihkpihlffljabiepdag.crx,60
Malicious browser extension | Extension ID(s): melcllbcepoakpgccapphgiilfefclfp | Source: MaliciousBrowserExtensions,039c7e17e52b181a69aea74b8901ccd06c779bbf7189e8ce7fb3761496907cc3,melcllbcepoakpgccapphgiilfefclfp.crx,60
Malicious browser extension | Extension ID(s): imjmnghlhiimodfkdkgnfplhlobehnpm | Source: MaliciousBrowserExtensions,03b0348b0b659b58fc2ee22e001944bf54f76f76e7d8fb6798a27a1bd7f8fdd7,imjmnghlhiimodfkdkgnfplhlobehnpm.crx,60
Malicious browser extension | Extension ID(s): pbecllekjbdgokpkfmgaggfmghfdipkn | Source: MaliciousBrowserExtensions,03f177c9b30786c05b07f8957231589af64dc50eb0296c290209c3a8348ea8a9,pbecllekjbdgokpkfmgaggfmghfdipkn.crx,60
Malicious browser extension | Extension ID(s): enclhmjiadiphdbnpkdhkelcahjnnhcp | Source: MaliciousBrowserExtensions,041c3614e3794a4a1f7b1a83add393c75d217785148d809b83ff1ae70da461e4,enclhmjiadiphdbnpkdhkelcahjnnhcp.crx,60
Malicious browser extension | Extension ID(s): nlfkaldinolmacagmiddfpnfaeclfibn | Source: MaliciousBrowserExtensions,04755ffcff7562011929484a59aaf54e637e67b0f6520cb419052f2eed28934f,nlfkaldinolmacagmiddfpnfaeclfibn.crx,60
Malicious browser extension | Extension ID(s): omghfjlpggmjjaagoclmmobgdodcjboh | Source: MaliciousBrowserExtensions,04c612da0b110a52652b77b0d504a34333fce7e525bbe94dffd11e70a24dd9ec,omghfjlpggmjjaagoclmmobgdodcjboh.crx,60
Malicious browser extension | Extension ID(s): bhahpmoebdipfoaadcclkcnieeokebnf | Source: MaliciousBrowserExtensions,050af4004c3159d89e7b5bdf0cf61a38a2050d990f5388b6124308fc36332ce8,bhahpmoebdipfoaadcclkcnieeokebnf.crx,60
Malicious browser extension | Extension ID(s): legdfnahnoeicgljlooibgkjphfaploh | Source: MaliciousBrowserExtensions,055e75f6dba47db81cbfd82c8e533e84ab6d7d0252a03c481651646734f8955d,legdfnahnoeicgljlooibgkjphfaploh.crx,60
Malicious browser extension | Extension ID(s): fjeahbfapbkbpaeijlhjokafegcgakmm | Source: MaliciousBrowserExtensions,05601c057be5683f8ce967c8882c199fa1cf96023f40d1e80c1d1da9a17ad5c2,fjeahbfapbkbpaeijlhjokafegcgakmm.crx,60
Malicious browser extension | Extension ID(s): phpjgmopmomaokbddkjpnnffmchbnagh | Source: MaliciousBrowserExtensions,05e5a7b095322dbf14f548d9861e6f0e5210ceff2db02bd43b5c2af6f38b2523,phpjgmopmomaokbddkjpnnffmchbnagh.crx,60
Malicious browser extension | Extension ID(s): hlnlameikmglaccgijanmlbocjcgcidn | Source: MaliciousBrowserExtensions,0600bd7b21cbedc0293810a692945acc4c64da1474eaec03b0fcd0eee4f13d05,hlnlameikmglaccgijanmlbocjcgcidn.crx,60
Malicious browser extension | Extension ID(s): falfcccfjmagebegdiaoiimndpdlmihh | Source: MaliciousBrowserExtensions,060fddc927366dc963052b65d15b3f4fab8322e9446c48bf5f5c3ba1f6f088e5,falfcccfjmagebegdiaoiimndpdlmihh.crx,60
Malicious browser extension | Extension ID(s): gfikbhpfjldbbikolkcimfgmejhdkjbe | Source: MaliciousBrowserExtensions,06de7e28f93e9800d7c35c3a7b4a1120d1b6ed62fdd83d20b50f3e2a83a9ddd0,gfikbhpfjldbbikolkcimfgmejhdkjbe.crx,60
Malicious browser extension | Extension ID(s): hkpmehimmmbnkjhijfpblfcfdmdolmgb | Source: MaliciousBrowserExtensions,07b29843958c62d55323d205a1a6fdc7786b6242563c090c4fe5a9afd71a0d79,hkpmehimmmbnkjhijfpblfcfdmdolmgb.crx,60
Malicious browser extension | Extension ID(s): acaeafediijmccnjlokgcdiojiljfpbe | Source: MaliciousBrowserExtensions,081db67eca4e062752fa79e1815cba5bc11e5cd69ae71a446eeea8fcb1f8ce1c,acaeafediijmccnjlokgcdiojiljfpbe.crx,60
Malicious browser extension | Extension ID(s): aikflfpejipbpjdlfabpgclhblkpaafo | Source: MaliciousBrowserExtensions,082da623f8125764943bff8df35c382f0aaae5b9c34081c4d32907515cb19619,aikflfpejipbpjdlfabpgclhblkpaafo.crx,60
Malicious browser extension | Extension ID(s): almalgbpmcfpdaopimbdchdliminoign | Source: MaliciousBrowserExtensions,086550e3621a498fbcdc4123058ab43ddaba56478c2613c2a55f1e2c9910398b,almalgbpmcfpdaopimbdchdliminoign.crx,60
Malicious browser extension | Extension ID(s): iincgojokhoknbhgjaljpihfegfpbjih | Source: MaliciousBrowserExtensions,087d1ffd8f294b486f824b7b9515fabfccad896091aaae7ae65c2ccd59ae448e,iincgojokhoknbhgjaljpihfegfpbjih.crx,60
Malicious browser extension | Extension ID(s): mpfokndmajkflgkbjjkmgcnkkoebelab | Source: MaliciousBrowserExtensions,088b06a0a7b1220338e3e5eafae7ab26abc5b466c97c32635dc63e56ccb7d707,mpfokndmajkflgkbjjkmgcnkkoebelab.crx,60
Malicious browser extension | Extension ID(s): cehifnkfcddaeppdajpfldbpommggaca | Source: MaliciousBrowserExtensions,08aed9f73f8b52f5aaae0f1468697c7ce3e5ac3ee184e6752344fc118dc1cd23,cehifnkfcddaeppdajpfldbpommggaca.crx,60
Malicious browser extension | Extension ID(s): jlbpahgopcmomkgegpbmopfodolajhbl | Source: MaliciousBrowserExtensions,091b40a04abd62a94aa9dca53d125ab17e910f249feed900eb544d974eafcba2,jlbpahgopcmomkgegpbmopfodolajhbl.crx,60
Malicious browser extension | Extension ID(s): ajjgfffcnelajekhpgnfhhehpjokkkjh | Source: MaliciousBrowserExtensions,092be3f5579dde4b1d0c84048737d391eed06396d5cfc6d198d69af2691408f3,ajjgfffcnelajekhpgnfhhehpjokkkjh.crx,60
Malicious browser extension | Extension ID(s): ifhigdhiifbnjanhacoedbadhmlkjgae | Source: MaliciousBrowserExtensions,0941b284c091818d52619f46be22ffce2d2042e6c285bd45e1250b46199fead5,ifhigdhiifbnjanhacoedbadhmlkjgae.crx,60
Malicious browser extension | Extension ID(s): kjhnajdlflnfmfdghcckbngdchajaime | Source: MaliciousBrowserExtensions,0a31448255e95114676aa958240ead2732cf030aacae850f73e99ab0cca5ff0f,kjhnajdlflnfmfdghcckbngdchajaime.crx,60
Malicious browser extension | Extension ID(s): phfkdailnomcbcknpdmokejhellbecjb | Source: MaliciousBrowserExtensions,0acd758fb7d648626864c105d31e602f06182500087d484e36f4fe433510dc10,phfkdailnomcbcknpdmokejhellbecjb.crx,60
Malicious browser extension | Extension ID(s): dljlpildgknddpnahppkihgodokfjbnd | Source: MaliciousBrowserExtensions,0b204f06a8f99b037fc4453c6367fd601b62e89307d5ab94d359da0764502675,dljlpildgknddpnahppkihgodokfjbnd.crx,60
Malicious browser extension | Extension ID(s): hmpjdeippjapohpkmalhmnohbipnggjf | Source: MaliciousBrowserExtensions,0b536e3447ed156a9a82fcac27a3ce6784906a37484b875954d8b71cb5db99bd,hmpjdeippjapohpkmalhmnohbipnggjf.crx,60
